Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,Mapped Location
757,DICDOUNN,DICKERSON PIKE & DOUGLAS AVE NB,false,false,"23,43",DICKERSON ROAD,"(36.193984, -86.772378)"
1185,HWYHICWN,HWY 70 S & HICKS RD WB,false,true,"24,5",WEST END - BELLEVUE,"(36.073996, -86.925957)"
2753,COUHYDNN,COUNTY HOSPITAL RD & HYDES FERRY RD NB,false,false,22,BORDEAUX,"(36.189409, -86.83773)"
487,BRO9AWF,BROADWAY AVE & 9TH AVE S WB,false,true,"3,35,7,93",WEST END - WHITE BRIDGE,"(36.158366, -86.783544)"
4915,HIGJUNEF,HIGHLAND VIEW DR & JUNEAU DR EB,false,false,27,OLD HICKORY,"(36.206998, -86.606283)"
3591,MORGEOSN,MORROW RD & GEORGIA AVE SB,false,false,19,HERMAN,"(36.155318, -86.8529)"
3070,BAT29AWN,BATAVIA ST & 29TH AVE N WB,false,false,19,HERMAN,"(36.161129, -86.820279)"
4497,HARANTEN,HARDING PL & ANTIOCH PK EB,false,false,52,NOLENSVILLE PK BRT LITE,"(36.087226, -86.692475)"
1610,NOLFAINM,NOLENSVILLE PIKE & FAIRLANE DR NB,false,false,52,NOLENSVILLE PK BRT LITE,"(36.064303, -86.717023)"
560,CXISYLHE,37TH AVE/SYLVAN HEIGHTS STATION INBOUND,false,false,"10,50",CHARLOTTE,"(36.152679, -86.828305)"
5264,MXIMCCTR,CONVENTION CENTER STATION INBOUND,false,false,"15,33,34,37,38,52,55,84,86,96",NOLENSVILLE PK BRT LITE,"(36.160899, -86.77444)"
1389,LONRICSM,LONE OAK RD & RICHARD JONES RD SB,false,false,"2,21",BELMONT,"(36.102987, -86.808924)"
4289,NOLWOONF,WOODYCREST STATION INBOUND,false,false,52,NOLENSVILLE PK BRT LITE,"(36.131406, -86.756197)"
3939,BELCCHNN,BELL RD & COUCHVILLE PIKE NB,false,false,38,ANTIOCH EXPRESS,"(36.111686, -86.629992)"
3891,UNAMURWF,UNA ANTIOCH PIKE & MURFREESBORO PK,false,false,38,ANTIOCH EXPRESS,"(36.085914, -86.649247)"
708,COUPANWN,COUNTY HOSPITAL RD & PANORAMA DR WB,false,false,22,BORDEAUX,"(36.18444, -86.843029)"
1134,HICOCANN,HICKORY PLAZA DR & OCALA DR NB,false,false,"37,52",TUSCULUM - McMURRAY EXPRESS,"(36.050729, -86.716016)"
5310,MUR23AEF,MURPHY & 23RD AVE EB,false,false,25,MIDTOWN,"(36.153902, -86.807696)"
2327,NASFAIEN,NASHBORO BLVD & FAIRWAY PT EB,false,false,38,ANTIOCH EXPRESS,"(36.089691, -86.631284)"
1012,GALSEYSN,GALLATIN AVE & SEYMOUR AVE SB,false,true,26,GALLATIN PIKE,"(36.18571, -86.747616)"
4756,GRYDWTNF,GRAYCROFT AVE & DUE WEST AVE NB,false,false,36,MADISON EXPRESS,
4280,NXOJOYNR,JOYNER STATION OUTBOUND,false,false,52,NOLENSVILLE PK BRT LITE,"(36.116599, -86.74822)"
4660,4AVDEASN,4TH AVE & DEADERICK ST SB,false,false,"15,18,25,27,33,34,36,37,44,60,61",LEBANON PIKE,"(36.165893, -86.780414)"
2957,DICLEMSF,DICKERSON PIKE & LEMUEL RD SB,false,false,"23,43",DICKERSON ROAD,"(36.215223, -86.764056)"
1266,LAF4AWN,LAFAYETTE ST & 4TH AVE S WB,false,true,18,AIRPORT - DOWNTOWN HOTELS,"(36.151871, -86.770982)"
5462,CM5_9,Temporary Bay 9,false,false,,SHELBY,
1028,NGAWILSN,N GALLATIN PIKE & WILEY LN SB,false,false,26,GALLATIN PIKE,"(36.269427, -86.710676)"
5330,TRAPARNN,TRAVIS DR & PARAGON MILLS RD NB,false,false,72,GRASSMERE-EDMONDSON CONNECTOR,"(36.085349, -86.726967)"
2105,WOO6SWN,WOODLAND ST & S 6TH ST WB,false,false,20,SCOTT,"(36.172749, -86.762531)"
348,BAPUNNSM,BAPTIST WORLD CENTER DR & UNNAMED ST SB,false,false,14,WHITES CREEK,"(36.195314, -86.780671)"
420,BELMORSN,BELL RD & MORRIS GENTRY BLVD SB,false,false,15,MURFREESBORO PIKE,"(36.066713, -86.636764)"
1879,SHE14SWN,SHELBY AVE & S 14TH ST WB,false,false,4,SHELBY,"(36.170861, -86.746613)"
2939,MCNSUTN,MCNAIRY LN & SUTTON HILL RD NB,false,false,8,8TH AVENUE SOUTH,
37,GRAFERNN,GRANNY WHITE PIKE & FERGUSON AVE NB,false,false,17,12TH AVENUE SOUTH,"(36.118756, -86.791055)"
2998,N16ORDNN,N 16TH ST & ORDWAY PL NB,false,false,4,SHELBY,"(36.179699, -86.741437)"
2191,MADTOWE,MADISON TOWERS,false,false,76,MADISON CONNECTOR,"(36.267491, -86.699097)"
1250,JONJONSN,JONES AVE & JONES CIR SB,false,false,30,McFERRIN,"(36.206463, -86.758067)"
1547,MURREEEN,MURFREESBORO PIKE & REEDWOOD DR EB,false,true,15,MURFREESBORO PIKE,"(36.104839, -86.670128)"
3169,MERWILSN,MERIDIAN ST & WILBURN ST SB,false,false,28,MERIDIAN,"(36.185733, -86.768284)"
1989,WED17AEN,WEDGEWOOD AVE & 17TH AVE S EB,false,true,"21,35,93",UNIVERSITY CONNECTOR,"(36.136868, -86.795931)"
1361,LEBMUNEN,LEBANON PIKE & MUNN LN EB,false,false,6,LEBANON PIKE,"(36.168641, -86.656204)"
1462,MERTRUNN,MERIDIAN ST & TRUETLAN ST NB,false,false,28,MERIDIAN,"(36.179972, -86.769035)"
5368,GLABRIWM,GLASTONBURY RD & BRILEY PKWY WB,false,false,77,THOMPSON CONNECTOR,"(36.135986, -86.7016)"
5323,EDMBLANF,EDMONDSON PK & BLACKMAN NB,false,false,72,GRASSMERE-EDMONDSON CONNECTOR,"(36.072479, -86.732616)"
5344,THKG,THOMPSON LN KROGER,false,false,77,THOMPSON CONNECTOR,"(36.110432, -86.724234)"
858,ELMROYWN,ELM HILL PIKE & ROYAL PKWY WB,false,false,18,AIRPORT - DOWNTOWN HOTELS,"(36.151738, -86.676829)"
3455,MURPOLWN,MURFREESBORO PIKE & POLK AVE WB,false,true,15,MURFREESBORO PIKE,"(36.142242, -86.742411)"
4767,WED16ASN,WEDGEWOOD AVE & 16TH AVE WB,false,false,35,RIVERGATE EXPRESS,"(36.136319, -86.794443)"
2722,2AVCOMNN,2ND AVE N & COMMERCE ST NB,false,false,"15,25,27,33,34,36,37,38,44,84,86,96",LEBANON PIKE,"(36.163214, -86.775995)"
5029,NWBMEDSN,NW BROAD ST & MEDICAL CENTER PKWY SB,false,false,96,MURFREESBORO RELAX & RIDE,"(35.855724, -86.403636)"
1894,SHE9SEN,SHELBY AVE  & S 9TH ST EB,false,false,4,SHELBY,"(36.170613, -86.754309)"
5294,MURCITWN,MURFREESBORO PIKE & CITY HALL WB,false,false,"86,96",SMYRNA - LA VERGNE EXPRESS,"(36.021807, -86.581929)"
1502,MURREEWF,MURFREESBORO PIKE & REEDWOOD DR,false,true,15,MURFREESBORO PIKE,"(36.104936, -86.669667)"
5464,CM5_11,Temporary Bay 11,false,false,,100 OAKS,
3081,39AJOHNN,39TH AVE N & JOHN L DRIVER BLVD NB,false,false,19,HERMAN,"(36.165606, -86.83418)"
2712,NXIMORTN,MORTON STATION INBOUND,false,false,52,NOLENSVILLE PK BRT LITE,"(36.10623, -86.742755)"
4414,MCC4_15,MUSIC CITY CENTRAL 4TH - BAY 15,true,false,"10,15,55",CHARLOTTE,"(36.166322, -86.781446)"
147,21AWLISN,21ST AVE S & W LINDEN AVE SB,false,false,7,HILLSBORO,"(36.127657, -86.803557)"
1400,MAIFRENF,MAINSTREAM DR & FREELAND ST RD NB,false,true,9,METROCENTER,"(36.195894, -86.817635)"
1747,OLDSOUSN,OLD HICKORY BLVD & SOUTHFORK BLVD SB,false,false,27,OLD HICKORY,"(36.221033, -86.625062)"
1235,JEFTEMWN,JEFFERSON ST & ED TEMPLE BLVD WB,false,true,"21,60",UNIVERSITY CONNECTOR,"(36.167813, -86.820382)"
374,BELBENWN,BELL RD & BENZING RD WB,false,false,33,HICKORY HOLLOW-LENOX EXPRESS,"(36.04539, -86.701416)"
405,BELHPAWF,BELL RD & HICKORY PARK DR WB,false,true,33,HICKORY HOLLOW-LENOX EXPRESS,"(36.04488, -86.669901)"
1867,SHALONWN,SHACKLEFORD RD & LONE OAK RD WB,false,false,"2,21",BELMONT,"(36.102139, -86.808542)"
4965,EWIRICEN,EWING DR & RICHMOND HILL DR EB,false,false,23,DICKERSON ROAD,"(36.230288, -86.773922)"
1659,NOLTUSSN,NOLENSVILLE PIKE & TUSCULUM RD SB,false,false,52,NOLENSVILLE PK BRT LITE,"(36.059105, -86.716445)"
771,DICHILSF,DICKERSON PIKE & HILLHURST DR SB,false,false,"23,43",DICKERSON ROAD,"(36.226044, -86.760219)"
906,GALARDNN,N GALLATIN PIKE & ARDEE AVE NB,false,false,26,GALLATIN PIKE,"(36.219347, -86.72754)"
4662,4AARCADE,4TH AVE & ARCADE SB,false,false,"15,18,25,27,33,34,36,37,44,60,61",LEBANON PIKE,"(36.164616, -86.779573)"
1086,HARPAGSN,HARDING PIKE & PAGE RD SB,false,true,5,WEST END - BELLEVUE,"(36.100407, -86.871185)"
4463,MAPWALNM,MAPLEWOOD TRC & WALTON LN EB,false,false,43,HICKORY HILLS,"(36.232267, -86.753084)"
3061,JEF14AEN,JEFFERSON ST & 14TH AVE N EB,false,true,60,MUSIC CITY BLUE CIRCUIT,"(36.170732, -86.801437)"
1455,MERCLENN,MERIDIAN ST & CLEVELAND ST NB,false,false,28,MERIDIAN,"(36.186902, -86.768026)"
5222,RIVPLYWN,RIVERWOOD DR & PLYMOUTH AVE WB,false,false,20,SCOTT,"(36.222369, -86.719039)"
3636,ANDPRINN,ANDERSON RD & PRIEST LAKE DR NB,false,false,38,ANTIOCH EXPRESS,"(36.090586, -86.606347)"
1000,GALOAKSN,GALLATIN PIKE & OAK ST SB,false,false,26,GALLATIN PIKE,"(36.216374, -86.729271)"
4206,ANDTYLNN,ANDREW JACKSON PKWY & TYLER DR NB,false,false,"27,6",LEBANON PIKE,"(36.197284, -86.608466)"
4741,2AVKORNN,2ND AVE & KOREAN VETS BLVD NB,false,false,15,MURFREESBORO PIKE,"(36.157875, -86.772552)"
2052,WHIBRONF,WHITE BRIDGE PIKE & BROOKWOOD PL NB,true,true,3,WEST END - WHITE BRIDGE,"(36.132157, -86.857574)"
1852,SCOKELSN,SCOTT AVE & KELLER AVE SB,false,false,20,SCOTT,"(36.203224, -86.732445)"
1318,LEBJACEF,LEBANON PIKE & JACKSON DOWNS BLV D,false,false,6,LEBANON PIKE,"(36.182108, -86.640891)"
3067,HER17NWN,HERMAN ST & 17TH AVE N WB,false,false,19,HERMAN,"(36.164758, -86.802109)"
1653,NOLTAYWN,NOLENSVILLE PIKE & TAYLOR RD WB,false,false,52,NOLENSVILLE PK BRT LITE,"(36.069631, -86.720726)"
5381,ETHBROSF,E THOMPSON LN & BROWNING RD SB,false,false,77,THOMPSON CONNECTOR,"(36.120599, -86.718195)"
120,21ACHINN,21ST AVE S & CHILDRENS WAY NB,false,true,"35,7",HILLSBORO,"(36.138372, -86.800622)"
555,CHA31AEM,CHARLOTTE AVE & 31ST AVE N EB,false,false,10,CHARLOTTE,"(36.153181, -86.821371)"
4604,WMOH,WAL MART - O.H. & NOLENSVILLE PIKE,false,false,33,HICKORY HOLLOW-LENOX EXPRESS,"(36.040995, -86.710992)"
4364,12AASHSF,12TH AVE S & ASHWOOD AVE SB,false,true,17,12TH AVENUE SOUTH,"(36.128444, -86.789105)"
159,25ADELNN,25TH AVE N & DELK AVE NB,false,false,42,ST. CECILIA - CUMBERLAND,"(36.178282, -86.816675)"
2303,STEBLAS,STEWARTS FERRY PKWY & BLACKWOOD DR SB,false,true,38,ANTIOCH EXPRESS,"(36.152332, -86.625169)"
843,CHE8AWN,CHESTNUT ST & 8TH AVE S WB,false,false,25,MIDTOWN,"(36.141776, -86.778352)"
678,CLACLISN,CLARKSVILLE PIKE & CLIFF DR SB,false,true,22,BORDEAUX,"(36.192341, -86.829181)"
397,BELCOMNN,BELMONT BLVD & COMPTON AVE NB,false,false,"2,21",BELMONT,"(36.13089, -86.795485)"
3710,RURPRIWN,RURAL HILL RD & PRIEST LAKE DR WB,false,false,38,ANTIOCH EXPRESS,"(36.079436, -86.628392)"
182,2AVJUNSF,2ND AVE N & JUNIOR GILLIAM WAY SB,true,false,"28,9",METROCENTER,"(36.174197, -86.782949)"
2632,CXONVLWS,NASHVILLE WEST STATION OUTBOUND,true,false,"10,50",CHARLOTTE,"(36.134638, -86.888654)"
4971,21AMEHNM,21 ST AVE N & MEHARRY BLVD NB,false,false,21,UNIVERSITY CONNECTOR,"(36.16748, -86.809233)"
1471,MONBLUNN,MONTGOMERY AVE & BLUE RIDGE AVE NB,false,false,30,McFERRIN,"(36.196972, -86.755197)"
1999,WES19AEN,WEST END AVE & 19TH AVE S EB,true,true,"3,5",WEST END - WHITE BRIDGE,"(36.152168, -86.797482)"
5131,ROSTRANF,ROSEBANK AVE & TRAUGHBER DR NB,false,false,4,SHELBY,"(36.195094, -86.708469)"
4991,HUNDALSN,HUNTERS LN & DALMERE DR SB,false,false,43,HICKORY HILLS,"(36.27992, -86.756424)"
1437,MCGCENSN,MCGAVOCK PIKE & CENTURY BLVD SB,false,false,18,AIRPORT - DOWNTOWN HOTELS,"(36.149153, -86.683907)"
4957,BRICHENF,BRICKMONT DR & CHESAPEAKE DR NB,false,false,23,DICKERSON ROAD,"(36.245431, -86.768844)"
5364,MASPATNN,MASSMAN DR & PATRICIA DR NB,false,false,77,THOMPSON CONNECTOR,"(36.134916, -86.704613)"
5406,MCCFMS,MUSIC CITY CIRCUIT FARMERS MARKET S,false,false,61,MUSIC CITY GREEN CIRCUIT,"(36.168505, -86.788052)"
4850,TROELYNF,TROUSDALE DR & ELYSIAN FIELDS RD NB,false,false,72,GRASSMERE-EDMONDSON CONNECTOR,"(36.085954, -86.75451)"
3924,PICBISWM,PICCADILLY ROW & BISHOPGATE RD WB,false,false,38,ANTIOCH EXPRESS,"(36.078591, -86.659934)"
154,23ACLANN,23RD AVE N & CLARKSVILLE PIKE NB,false,false,22,BORDEAUX,"(36.18348, -86.81422)"
4897,HADDONSF,HADLEY AVE & DONELSON AVE SB,false,false,27,OLD HICKORY,"(36.263524, -86.647872)"
823,DRDHERSN,DR DB TODD JR BLVD & HERMOSA ST SB,false,false,25,MIDTOWN,"(36.164472, -86.804654)"
9,10ALAWSN,10TH AVE S & LAWRENCE AVE SB,false,false,17,12TH AVENUE SOUTH,"(36.129014, -86.786086)"
282,8ASHISN,8TH AVE S & SHIRLEY ST SB,false,false,"84,86",MURFREESBORO EXPRESS,"(36.155187, -86.77982)"
4325,CLAASHSM,CLARKSVILLE PIKE & ASHTON CITY HWY,false,false,22,BORDEAUX,"(36.198516, -86.838365)"
2768,DELTAYSN,DELTA AVE & TAYLOR ST SB,false,false,22,BORDEAUX,"(36.176626, -86.79428)"
1821,ROSDALWF,ROSEBANK AVE & DALEBROOK LN WB,false,false,4,SHELBY,"(36.186592, -86.720147)"
764,DICEVASN,DICKERSON PIKE & EVANSON AVE SB,false,false,"23,43",DICKERSON ROAD,"(36.190474, -86.77296)"
406,BELHHOEN,BELL RD & HICKORY HOLLOW PKWY EB,false,true,33,HICKORY HOLLOW-LENOX EXPRESS,"(36.047277, -86.656155)"
778,DICMULSN,DICKERSON PIKE & MULBERRY DOWNS CIR,false,false,43,HICKORY HILLS,"(36.25167, -86.757501)"
4296,ANNCHAWF,ANNEX AVE & CHARLOTTE PIKE WB,false,false,10,CHARLOTTE,"(36.139798, -86.881237)"
869,ELMROYEN,ELM HILL PIKE & ROYAL PKWY EB,false,false,18,AIRPORT - DOWNTOWN HOTELS,"(36.151668, -86.677224)"
1764,CREOAKSM,CREEKWOOD DR & OAKVIEW DR SB,false,true,23,DICKERSON ROAD,"(36.234315, -86.767589)"
2471,OLDBREEF,OLD HICKORY BLVD & BRENTWOOD CHASE DR EB,false,false,37,TUSCULUM - McMURRAY EXPRESS,"(36.039628, -86.759489)"
541,CXONGULC,11TH AVE / N GULCH STATION OUTBOUND,false,false,"1,10,24,25,50",100 OAKS,"(36.162249, -86.790464)"
4262,GALROOSN,GALLATIN PIKE & ROOSEVELT AVE SB,false,false,26,GALLATIN PIKE,"(36.271168, -86.710472)"
1513,MURFOSEN,MURFREESBORO PIKE & FOSTER AVE EB,false,true,15,MURFREESBORO PIKE,"(36.141557, -86.740817)"
5221,ARDGALEF,ARDEE AVE & GALLATIN PIKE EB,false,false,20,SCOTT,"(36.219311, -86.727012)"
4391,LEBLISWN,LEBANON PIKE & LISA LN  WB,false,false,"34,6",LEBANON PIKE,"(36.159527, -86.703951)"
86,MAGDORNN,MAGNOLIA BLVD & DOROTHY PL NB,false,true,2,BELMONT,"(36.137078, -86.794499)"
3702,ANDWILWF,ANDERSON RD & WILFORD PACK DR WB,false,false,38,ANTIOCH EXPRESS,"(36.073067, -86.614488)"
2703,NOLBRESN,NOLENSVILLE  PK & BREWER DR,false,false,52,NOLENSVILLE PK BRT LITE,"(36.053735, -86.715196)"
2995,16SWOONN,16TH ST & WOODLAND ST NB,false,false,4,SHELBY,"(36.176735, -86.741876)"
2243,CHE1AVWF,CHESTNUT & 1ST AVE WB,false,false,25,MIDTOWN,"(36.14638, -86.763375)"
3945,BELEHPNN,BELL RD & ELM HILL PIKE NB,false,false,38,ANTIOCH EXPRESS,"(36.140995, -86.627918)"
5160,HER12AEN,HERMAN ST & 12TH AVE N EB,false,false,19,HERMAN,"(36.167152, -86.796343)"
1193,HWYSAWEN,HWY 70 S & SAWYER BROWN RD EB,false,true,"24,5",WEST END - BELLEVUE,"(36.076953, -86.94581)"
5224,OTASCOWN,OTAY ST & SCOTT AVE WB,false,false,20,SCOTT,"(36.199009, -86.73293)"
1554,MURSPEEN,MURFREESBORO PIKE & SPENCE LN EB,false,true,15,MURFREESBORO PIKE,"(36.135661, -86.725098)"
1307,LEBGRAWN,LEBANON PIKE & GRAYLNN DR WB,false,false,"34,6",LEBANON PIKE,"(36.169933, -86.674357)"
195,3AGARNN,3RD AVE N & GARFIELD ST NB,false,false,9,METROCENTER,"(36.183082, -86.789838)"
1301,LEBFAIEN,LEBANON PIKE & FAIRWAY DR EB,false,false,"34,6",LEBANON PIKE,"(36.168866, -86.683426)"
5081,5AVDEMNF,5TH AVE & DEMONBREUN ST NB,true,false,61,MUSIC CITY GREEN CIRCUIT,"(36.158589, -86.777139)"
2514,OPRYSHOP,OPRY MILLS SHOPPING CENTER,false,false,34,OPRY MILLS,"(36.20849, -86.698377)"
4889,OLDOVENN,DUPONT-HADLEY MIDDLE SCHOOL,false,false,27,OLD HICKORY,"(36.249225, -86.643417)"
821,DOVMOOWN,DOVERSIDE DR & MOOREWOOD DR WB,false,false,23,DICKERSON ROAD,"(36.240374, -86.772655)"
2923,MCNSUTS,MCNAIRY LN & SUTTON HILL RD SB,false,false,8,8TH AVENUE SOUTH,
959,GALLAKNN,GALLATIN PIKE & LAKEWOOD DR NB,false,false,26,GALLATIN PIKE,"(36.244354, -86.722479)"
5125,ROSBEEEF,ROSEBANK AVE & BEECHMONT PL EB,false,false,4,SHELBY,"(36.186611, -86.72256)"
5209,FREVANSM,FRENCH LANDING DR & VANTAGE WAY SB,false,false,9,METROCENTER,"(36.190358, -86.79748)"
4976,31ALONSN,31ST AVE N & LONG BLVD SB,false,false,21,UNIVERSITY CONNECTOR,"(36.146548, -86.816414)"
2028,WESELMEN,WEST END AVE & ELMINGTON AVE EB,false,true,"3,5",WEST END - WHITE BRIDGE,"(36.13499, -86.823993)"
292,8AOLYSN,8TH AVE S & OLYMPIC ST SB,false,false,8,8TH AVENUE SOUTH,
510,BUC11AWN,BUCHANAN ST & 11TH AVE N WB,false,false,22,BORDEAUX,"(36.18041, -86.804368)"
42,12AHORNN,12TH AVE S & HORTON AVE NB,false,true,"17,93",12TH AVENUE SOUTH,"(36.139606, -86.787525)"
2719,LAF2ANNN,LAFAYETTE ST & 2ND AVE S SB,false,false,15,MURFREESBORO PIKE,
3073,CLI39AWN,CLIFTON AVE & 39TH AVE N WB,false,false,19,HERMAN,"(36.157723, -86.830237)"
5155,EWIRI_WN,EWING DR & RICH ACRES DR WB,false,false,23,DICKERSON ROAD,"(36.230582, -86.765423)"
4950,VAIBRISN,PARKWOOD PARK (VAILVIEW DR & BRICKDALE LN) SB,false,false,23,DICKERSON ROAD,"(36.235458, -86.773046)"
288,8ADEMSN,8TH AVE S & DEMONBREUN ST SB,false,false,"1,2,8,84,86,96",100 OAKS,"(36.156975, -86.780929)"
5250,ARTBUCN,AUTHUR AVE & BUCHNANA ST NB,false,false,42,ST. CECILIA - CUMBERLAND,"(36.179419, -86.803705)"
934,GALEDGNN,N GALLATIN PIKE & EDGEMEADE BLVD NB,false,false,26,GALLATIN PIKE,"(36.283273, -86.706955)"
2204,BNA,NASHVILLE INTERNATIONAL AIRPORT,true,false,18,AIRPORT - DOWNTOWN HOTELS,"(36.130853, -86.668146)"
1701,OLDCTRNN,OLD HICKORY BLVD & CENTER ST NB,false,false,27,OLD HICKORY,"(36.225143, -86.625445)"
276,8ALOCSM,8TH AVE N & LOCKLAYER ST SB,false,true,"22,42",BORDEAUX,"(36.170063, -86.789411)"
4558,GXOEASTF,EASTLAND STATION OUTBOUND,true,false,"26,56",GALLATIN PIKE,"(36.183987, -86.748178)"
113,20ASTANF,20TH AVE N & STATE ST,false,false,25,MIDTOWN,"(36.154615, -86.801666)"
2866,BAUCOLEN,BAUGH RD & COLLICE JEANNE RD EB,false,false,"24,5",WEST END - BELLEVUE,"(36.069156, -86.93369)"
360,BAUSHEEF,BAUGH RD & SHEFFIELD SQ EB,false,false,"24,5",WEST END - BELLEVUE,"(36.068909, -86.937969)"
5460,CM5_7,Temporary Bay 7,false,false,,BELMONT,
4354,ZCHAFAIN,CHARLES DAVID BLVD & FAIN ST NB,false,false,25,MIDTOWN,"(36.151873, -86.761954)"
315,ALB21AEF,ALBION ST & 21ST AVE N EB,true,false,"19,21,25",HERMAN,"(36.165766, -86.80866)"
4566,GXIEHILF,EAST HILL STATION INBOUND,true,false,"26,56",GALLATIN PIKE,"(36.203663, -86.738539)"
4837,BLA25AEN,BLAKEMORE AVE & 25TH AVE S EB,false,false,21,UNIVERSITY CONNECTOR,"(36.138211, -86.807159)"
1332,LEBMONNF,LEBANON PIKE & MONACO DR NB,false,false,"27,6",LEBANON PIKE,"(36.206181, -86.61293)"
2480,OCAEULEN,OCALA DR & EULALA DR EB,false,false,37,TUSCULUM - McMURRAY EXPRESS,"(36.051372, -86.702821)"
124,21ACAPSN,21ST AVE S & CAPERS AVE SB,true,false,"35,7",HILLSBORO,"(36.138881, -86.800622)"
1994,WES17AWN,WEST END AVE & 17TH AVE S WB,false,false,"3,5,93",WEST END - WHITE BRIDGE,"(36.153941, -86.794329)"
4628,GXIMADLB,MADISON STATION INBOUND,true,false,"26,56,76",GALLATIN PIKE,"(36.257412, -86.714068)"
1591,NEISMINN,NEIL AVE & SMILEY ST NB,false,false,30,McFERRIN,"(36.178802, -86.759231)"
1347,LEBOMOEM,LEBANON PIKE & OMOHUNDRO PL EB,false,false,"34,6",LEBANON PIKE,"(36.153458, -86.733717)"
334,ATHDOMSN,ATHENS WAY & DOMINICAN DR SB,false,false,42,ST. CECILIA - CUMBERLAND,"(36.188482, -86.800415)"
1110,HER22AWN,HERMAN ST & 22ND AVE N WB,false,false,19,HERMAN,"(36.162409, -86.810284)"
1703,OLDDOUEN,OLD HICKORY BLVD & DOUGLAS ST EB,false,false,36,MADISON EXPRESS,"(36.263332, -86.714961)"
2085,WHILUZNF,WHITES CREEK PIKE & LUZON ST NB,false,false,14,WHITES CREEK,"(36.210243, -86.796294)"
4490,HARMETWN,HARDING PL & METROPLEX DR WB,false,false,52,NOLENSVILLE PK BRT LITE,"(36.086917, -86.695668)"
615,CXOWTBRG,WHITE BRIDGE STATION OUTBOUND,false,false,"10,50",CHARLOTTE,"(36.150052, -86.858652)"
4709,SANLONNN,SANDHURST DR & LONDON BRIDGE RD NB,false,false,76,MADISON CONNECTOR,"(36.261064, -86.678101)"
4225,MCGRIVEN,MCGAVOCK PIKE & RIVERSIDE DR EB,false,false,20,SCOTT,"(36.204675, -86.724532)"
2311,RICDEBWN,RICHARDS RD & DEBRA DR WB,false,false,38,ANTIOCH EXPRESS,"(36.067581, -86.66497)"
3326,NEETAHEN,NEELYS BEND RD & TAHLENA AVE EB,false,false,76,MADISON CONNECTOR,"(36.25148, -86.691662)"
5218,MCFMANNN,MCFERIN AVE & MANSFIELD ST NB,false,false,30,McFERRIN,"(36.181793, -86.754787)"
3869,UNI5AWN,UNION ST & 5TH AVE N WB,false,true,"14,15,23,25,27,33,34,36,37,38,44,84,86,96",LEBANON PIKE,"(36.164688, -86.780997)"
