primary_key,incident_number,report_type,report_type_description,incident_status_code,incident_status_description,investigation_status,incident_occurred,incident_reported,incident_location,latitude,longitude,zip_code,location_code,location_description,offense_number,offense_nibrs,offense_description,weapon_primary,weapon_description,victim_number,domestic_related,victim_type,victim_description,mapped_location,victim_gender,victim_race,victim_ethnicity,victim_county_resident
20230010208_11,20230010208,D,DISPATCHED,O,OPEN,Open,2023-01-05T14:00:00.000,2023-01-05T22:25:00.000,LITTLE AV,36.19,-86.74,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230476610_12,20230476610,D,DISPATCHED,O,OPEN,Open,2023-08-13T09:30:00.000,2023-08-13T10:58:00.000,EDMONDSON,36.06,-86.74,NA,90,APARTMENT,1,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),2,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230339582_11,20230339582,D,DISPATCHED,O,OPEN,Open,2023-06-09T18:30:00.000,2023-06-10T12:40:00.000,MOUNTAIN VALLEY DR,36.1,-86.93,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230337251_11,20230337251,D,DISPATCHED,O,OPEN,Open,2023-06-08T17:41:00.000,2023-06-09T05:47:00.000,BUENA VISTA PKE,36.22,-86.82,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,15,OTHER,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230481102_11,20230481102,D,DISPATCHED,O,OPEN,Open,2023-08-15T11:40:00.000,2023-08-15T12:30:00.000,WALLACE RD,36.08,-86.71,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230016961_11,20230016961,D,DISPATCHED,O,OPEN,Open,2023-01-08T18:00:00.000,2023-01-09T12:26:00.000,HICKORY CLUB DR,36.05,-86.64,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,B,BUSINESS,,NA,NA,NA,NA
20230476610_11,20230476610,D,DISPATCHED,O,OPEN,Open,2023-08-13T09:30:00.000,2023-08-13T10:58:00.000,EDMONDSON,36.06,-86.74,NA,90,APARTMENT,1,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),1,TRUE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230482359_11,20230482359,D,DISPATCHED,O,OPEN,Open,2023-08-15T07:00:00.000,2023-08-15T23:27:00.000,CHURCH ST E,36.03,-86.78,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230481959_11,20230481959,D,DISPATCHED,O,OPEN,Open,2023-08-02T12:00:00.000,2023-08-16T00:22:00.000,LEBANON PKE,36.19,-86.63,NA,90,APARTMENT,1,220,BURGLARY - AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,B,Non-Hispanic,RESIDENT
20230476225_11,20230476225,D,DISPATCHED,A,CLEARED BY ARREST,Closed,2023-08-13T02:20:00.000,2023-08-13T08:42:00.000,613 613,36.092,-86.642,37217,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,07,CLUB,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230482119_11,20230482119,D,DISPATCHED,O,OPEN,Open,2023-07-01T12:00:00.000,2023-08-15T21:15:00.000,WEDGEWOOD AV,36.14,-86.79,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230483619_11,20230483619,D,DISPATCHED,O,OPEN,Open,2023-08-16T12:19:00.000,2023-08-16T12:19:00.000,SCOVEL ST,36.17,-86.8,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230463504_12,20230463504,D,DISPATCHED,O,OPEN,Open,2023-08-07T22:30:00.000,2023-08-08T01:57:00.000,HART LN,36.22,-86.76,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),2,TRUE,I,INDIVIDUAL (18 AND OVER),,F,W,Hispanic,RESIDENT
20230340097_11,20230340097,D,DISPATCHED,O,OPEN,Open,2023-06-10T20:15:00.000,2023-06-10T21:28:00.000,ASH GROVE DR,36.05,-86.71,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230340976_11,20230340976,D,DISPATCHED,O,OPEN,Open,2023-06-10T09:00:00.000,2023-06-11T14:46:00.000,MAUDINA AV,36.14,-86.86,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,B,Non-Hispanic,RESIDENT
20230448343_11,20230448343,D,DISPATCHED,O,OPEN,Open,2023-07-31T02:00:00.000,2023-07-31T18:20:00.000,BURNING TREE DR,36.17,-86.6,NA,90,APARTMENT,1,220,BURGLARY - AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230331367_21,20230331367,D,DISPATCHED,O,OPEN,Open,2023-06-06T13:48:00.000,2023-06-06T17:00:00.000,ANDREW JACKSON WAY,36.18,-86.61,NA,90,APARTMENT,2,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,B,BUSINESS,,NA,NA,NA,NA
20230339533_12,20230339533,S,SUSPECT,A,CLEARED BY ARREST,Closed,2023-06-10T11:26:00.000,2023-06-10T14:43:00.000,6118 6118,36.159,-86.869,37209,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,17,NONE,2,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230337990_11,20230337990,D,DISPATCHED,O,OPEN,Open,2023-06-09T12:30:00.000,2023-06-09T15:28:00.000,BEVERLY DR,36.26,-86.72,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230327288_11,20230327288,D,DISPATCHED,O,OPEN,Open,2023-05-12T12:00:00.000,2023-06-05T00:47:00.000,GLASTONBURY RD,36.13,-86.7,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,NA,NA,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,B,Non-Hispanic,RESIDENT
20230339533_11,20230339533,S,SUSPECT,A,CLEARED BY ARREST,Closed,2023-06-10T11:26:00.000,2023-06-10T14:43:00.000,6118 6118,36.159,-86.869,37209,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230343354_11,20230343354,D,DISPATCHED,O,OPEN,Open,2023-06-09T13:00:00.000,2023-06-12T17:23:00.000,BYRON AV,36.13,-86.82,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230320980_11,20230320980,D,DISPATCHED,O,OPEN,Open,2023-06-01T14:00:00.000,2023-06-01T18:14:00.000,BOOKER ST,36.16,-86.81,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,07,CLUB,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230017382_11,20230017382,D,DISPATCHED,O,OPEN,Open,2023-01-06T18:00:00.000,2023-01-09T18:21:00.000,HINKLE DR,36.18,-86.84,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
20230455426_11,20230455426,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,2023-08-03T12:00:00.000,2023-08-03T22:48:00.000,312 312,36.057,-86.95,37221,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230007110_12,20230007110,D,DISPATCHED,O,OPEN,Open,2023-01-04T10:56:00.000,2023-01-04T16:57:00.000,MCCAMPBELL AVE,36.16,-86.66,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,07,CLUB,2,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230007110_11,20230007110,D,DISPATCHED,O,OPEN,Open,2023-01-04T10:56:00.000,2023-01-04T16:57:00.000,MCCAMPBELL AVE,36.16,-86.66,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,07,CLUB,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230017382_12,20230017382,D,DISPATCHED,O,OPEN,Open,2023-01-06T18:00:00.000,2023-01-09T18:21:00.000,HINKLE DR,36.18,-86.84,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,09,PERSONAL (HANDS),2,FALSE,I,INDIVIDUAL (18 AND OVER),,M,B,Non-Hispanic,RESIDENT
20230008263_11,20230008263,D,DISPATCHED,O,OPEN,Open,2023-01-05T02:20:00.000,2023-01-05T03:57:00.000,36TH AVE N,36.15,-86.83,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,07,CLUB,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230008263_12,20230008263,D,DISPATCHED,O,OPEN,Open,2023-01-05T02:20:00.000,2023-01-05T03:57:00.000,36TH AVE N,36.15,-86.83,NA,22,"RESIDENCE, HOME",1,220,BURGLARY - AGGRAVATED,07,CLUB,2,FALSE,I,INDIVIDUAL (18 AND OVER),,F,W,Non-Hispanic,RESIDENT
20230008719_11,20230008719,D,DISPATCHED,O,OPEN,Open,2023-01-04T17:30:00.000,2023-01-05T08:03:00.000,HILLSIDE DR,36.13,-86.81,NA,22,"RESIDENCE, HOME",1,220,BURGLARY- AGGRAVATED,17,NONE,1,FALSE,I,INDIVIDUAL (18 AND OVER),,M,W,Non-Hispanic,RESIDENT
20230023389_11,20230023389,D,DISPATCHED,O,OPEN,Open,2023-01-10T17:30:00.000,2023-01-12T00:53:00.000,ARBOR CREEK LN,36.13,-86.7,NA,90,APARTMENT,1,220,BURGLARY- AGGRAVATED,16,Unarmed,1,FALSE,I,INDIVIDUAL (18 AND OVER),,F,B,Non-Hispanic,RESIDENT
